rank,coin,name,symbol,provider,timeframe,direction,count,status,close,candle_time,volume_change,market_cap,volume_24h
145,layerzero,LayerZero,ZRO-USDT,okx,1w,buy,9,fresh_9,1.134,2026-05-25,-0.7994579396121833,286168460,45095332
8,tron,TRON,TRX-USDT,okx,1w,sell,13,extended_9_plus,0.35237,2026-05-25,-0.11315704539659366,33349422714,913345282
11,hyperliquid,Hyperliquid,HYPE-USDT,okx,1w,sell,12,extended_9_plus,61.754,2026-05-25,-0.22936944644005264,13720466979,1023368385
14,zcash,Zcash,ZEC-USDT,okx,1w,sell,10,extended_9_plus,548.4,2026-05-25,-0.2200603419175714,9131489006,730284615
114,official-trump,Official Trump,TRUMP-USDT,okx,1w,buy,11,extended_9_plus,1.897,2026-05-25,-0.6782437214662359,449998540,88088005
177,jito-governance-token,Jito,JTO-USDT,okx,1w,sell,10,extended_9_plus,0.4761,2026-05-25,-0.24226304855706948,227770358,67431801
23,the-open-network,Toncoin,TON-USDT,okx,1w,sell,8,near_8,1.763,2026-05-25,-0.06718554104595953,4769173395,244105886
31,sui,Sui,SUI-USDT,okx,1w,sell,7,near_7,0.9271,2026-05-25,-0.49760131107312233,3711151119,668470284
32,near,NEAR Protocol,NEAR-USDT,okx,1w,sell,7,near_7,2.432,2026-05-25,1.0747618228577949,3168383968,679099022
48,ondo-finance,Ondo,ONDO-USDT,okx,1w,sell,7,near_7,0.3669,2026-05-25,0.1229810195025931,1788794680,264083215
55,internet-computer,Internet Computer,ICP-USDT,okx,1w,sell,7,near_7,2.71,2026-05-25,0.38025070825373963,1498764995,107259617
84,filecoin,Filecoin,FIL-USDT,okx,1w,sell,7,near_7,0.9498,2026-05-25,-0.1150029036845771,745708677,151811831
96,injective-protocol,Injective,INJ-USDT,okx,1w,sell,7,near_7,5.455,2026-05-25,0.6246806297255305,546355697,131173164
102,dash,Dash,DASH-USDT,okx,1w,sell,8,near_8,40.09,2026-05-25,-0.5321338344761033,509667479,97501785
124,celestia,Celestia,TIA-USDT,okx,1w,sell,7,near_7,0.4118,2026-05-25,-0.019557902547081785,380637111,44494466
127,chiliz,Chiliz,CHZ-USDT,okx,1d,buy,9,fresh_9,0.03474,2026-05-28,-0.07901391813164149,360924585,84236847
5,ripple,XRP,XRP-USDT,okx,1d,buy,14,extended_9_plus,1.3145,2026-05-28,0.12669023713428196,81393856934,2381094574
16,cardano,Cardano,ADA-USDT,okx,1d,buy,17,extended_9_plus,0.2343,2026-05-28,0.3763875918558022,8660952176,469307248
22,bitcoin-cash,Bitcoin Cash,BCH-USDT,okx,1d,buy,20,extended_9_plus,297.7,2026-05-28,2.799027185229036,5963340674,377757676
27,litecoin,Litecoin,LTC-USDT,okx,1d,buy,17,extended_9_plus,51.73,2026-05-28,0.03725609130428986,3989416439,289105346
32,near,NEAR Protocol,NEAR-USDT,okx,1d,sell,11,extended_9_plus,2.435,2026-05-28,0.2537789557578569,3168383968,679099022
62,aave,Aave,AAVE-USDT,okx,1d,buy,15,extended_9_plus,80.62,2026-05-28,-0.024019585950596944,1222229030,302320025
96,injective-protocol,Injective,INJ-USDT,okx,1d,sell,10,extended_9_plus,5.455,2026-05-28,-0.4813560880047302,546355697,131173164
159,conflux-token,Conflux,CFX-USDT,okx,1d,buy,12,extended_9_plus,0.05174,2026-05-28,-0.38006700807650406,267847945,7994943
33,shiba-inu,Shiba Inu,SHIB-USDT,okx,1d,buy,7,near_7,5.358e-06,2026-05-28,0.31505012038106117,3152159400,164662215
81,ethena,Ethena,ENA-USDT,okx,1d,buy,7,near_7,0.08769,2026-05-28,0.22046962334919917,793133981,100607916
100,fetch-ai,Artificial Superintelligence Alliance,FET-USDT,okx,1d,sell,8,near_8,0.2294,2026-05-28,0.5464431982563878,517049604,131305202
148,the-graph,The Graph,GRT-USDT,okx,1d,sell,8,near_8,0.02649,2026-05-28,0.1449702716584147,284476629,28448554
152,monad,Monad,MON-USDT,okx,1d,buy,7,near_7,0.02363,2026-05-28,-0.8867300763729862,279583463,45036535
158,apenft,AINFT,NFT-USDT,okx,1d,buy,8,near_8,2.711e-07,2026-05-28,-0.7931960658198575,267587486,10445875
