rank,coin,name,symbol,provider,timeframe,direction,count,status,close,candle_time,volume_change,market_cap,volume_24h
145,layerzero,LayerZero,ZRO-USDT,okx,1w,buy,9,fresh_9,1.134,2026-05-25,-0.7995873728697893,285409656,47288437
127,chiliz,Chiliz,CHZ-USDT,okx,1d,buy,9,fresh_9,0.03479,2026-05-28,-0.08083735522268565,359515780,84105475
8,tron,TRON,TRX-USDT,okx,1w,sell,13,extended_9_plus,0.35211,2026-05-25,-0.11593886934970776,33339642794,911852900
11,hyperliquid,Hyperliquid,HYPE-USDT,okx,1w,sell,12,extended_9_plus,61.48,2026-05-25,-0.23145346519528054,13613860763,1026828156
14,zcash,Zcash,ZEC-USDT,okx,1w,sell,10,extended_9_plus,544.92,2026-05-25,-0.2234090589002874,9101367570,726509124
115,official-trump,Official Trump,TRUMP-USDT,okx,1w,buy,11,extended_9_plus,1.895,2026-05-25,-0.6792980568107039,449244853,89240515
177,jito-governance-token,Jito,JTO-USDT,okx,1w,sell,10,extended_9_plus,0.4791,2026-05-25,-0.2428242926300992,227296860,67440663
5,ripple,XRP,XRP-USDT,okx,1d,buy,14,extended_9_plus,1.3127,2026-05-28,0.11516762794247026,81316857442,2391482553
16,cardano,Cardano,ADA-USDT,okx,1d,buy,17,extended_9_plus,0.2342,2026-05-28,0.37279353052190123,8657806328,471654638
21,bitcoin-cash,Bitcoin Cash,BCH-USDT,okx,1d,buy,20,extended_9_plus,296.7,2026-05-28,2.77830139961511,6004775512,375231006
27,litecoin,Litecoin,LTC-USDT,okx,1d,buy,17,extended_9_plus,51.73,2026-05-28,0.03519821488525254,3988335125,287885278
33,near,NEAR Protocol,NEAR-USDT,okx,1d,sell,11,extended_9_plus,2.449,2026-05-28,0.2324312880553412,3140563516,676063411
62,aave,Aave,AAVE-USDT,okx,1d,buy,15,extended_9_plus,80.55,2026-05-28,-0.024843781152427358,1221439489,303191340
97,injective-protocol,Injective,INJ-USDT,okx,1d,sell,10,extended_9_plus,5.488,2026-05-28,-0.48379255328479664,544879515,128811879
159,conflux-token,Conflux,CFX-USDT,okx,1d,buy,12,extended_9_plus,0.05165,2026-05-28,-0.3804959718745632,267185849,8083152
23,the-open-network,Toncoin,TON-USDT,okx,1w,sell,8,near_8,1.765,2026-05-25,-0.06728159707304437,4757465132,276467110
31,sui,Sui,SUI-USDT,okx,1w,sell,7,near_7,0.9253,2026-05-25,-0.4979143796058212,3700434926,669029064
33,near,NEAR Protocol,NEAR-USDT,okx,1w,sell,7,near_7,2.444,2026-05-25,1.0693195772432782,3140563516,676063411
48,ondo-finance,Ondo,ONDO-USDT,okx,1w,sell,7,near_7,0.3668,2026-05-25,0.1221899355789875,1789728350,277156240
55,internet-computer,Internet Computer,ICP-USDT,okx,1w,sell,7,near_7,2.705,2026-05-25,0.37395139633723495,1496040188,107487491
84,filecoin,Filecoin,FIL-USDT,okx,1w,sell,7,near_7,0.9487,2026-05-25,-0.11539345637510723,743923096,147233543
97,injective-protocol,Injective,INJ-USDT,okx,1w,sell,7,near_7,5.488,2026-05-25,0.6237530484175196,544879515,128811879
104,dash,Dash,DASH-USDT,okx,1w,sell,8,near_8,40.01,2026-05-25,-0.5321999076010687,507455504,76608446
125,celestia,Celestia,TIA-USDT,okx,1w,sell,7,near_7,0.4129,2026-05-25,-0.020732484745417668,379057450,43063009
32,shiba-inu,Shiba Inu,SHIB-USDT,okx,1d,buy,7,near_7,5.354e-06,2026-05-28,0.3066345768922998,3148808876,163066371
81,ethena,Ethena,ENA-USDT,okx,1d,buy,7,near_7,0.08787,2026-05-28,0.2113350594377752,791155475,100229283
101,fetch-ai,Artificial Superintelligence Alliance,FET-USDT,okx,1d,sell,8,near_8,0.2286,2026-05-28,0.5441692549725166,513000229,126616922
148,the-graph,The Graph,GRT-USDT,okx,1d,sell,8,near_8,0.02633,2026-05-28,0.1277648110367806,284013667,29107194
153,monad,Monad,MON-USDT,okx,1d,buy,7,near_7,0.02363,2026-05-28,-0.8867864961954117,278789554,45202808
160,apenft,AINFT,NFT-USDT,okx,1d,buy,8,near_8,2.704e-07,2026-05-28,-0.7940573789433736,267507284,10459433
